Country or Area,Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
Belarus,2017,Total,Male,Soligorsk,City proper,Estimate - de jure,Final figure; complete,2017,49970,
Belarus,2017,Total,Male,Vitebsk,Urban agglomeration,Estimate - de jure,Final figure; complete,2017,167279,
Belarus,2017,Total,Female,Baranovichi,City proper,Estimate - de jure,Final figure; complete,2017,98018,
Belarus,2017,Total,Female,Bobruisk,City proper,Estimate - de jure,Final figure; complete,2017,116181,
Belarus,2017,Total,Female,Borisov,City proper,Estimate - de jure,Final figure; complete,2017,76037,
Belarus,2017,Total,Female,Brest,City proper,Estimate - de jure,Final figure; complete,2017,185002,
Belarus,2017,Total,Female,Gomel,Urban agglomeration,Estimate - de jure,Final figure; complete,2017,291335,
Belarus,2017,Total,Female,Grodno,City proper,Estimate - de jure,Final figure; complete,2017,201267,
Belarus,2017,Total,Female,Lida,City proper,Estimate - de jure,Final figure; complete,2017,53837,
Belarus,2017,Total,Female,MINSK,City proper,Estimate - de jure,Final figure; complete,2017,1075842,
Belarus,2017,Total,Female,Mogilev,City proper,Estimate - de jure,Final figure; complete,2017,205760,
Belarus,2017,Total,Female,Mozir,City proper,Estimate - de jure,Final figure; complete,2017,58772,
Belarus,2017,Total,Female,Novopolotsk,Urban agglomeration,Estimate - de jure,Final figure; complete,2017,56591,
Belarus,2017,Total,Female,Orsha,City proper,Estimate - de jure,Final figure; complete,2017,62658,
Belarus,2017,Total,Female,Pinsk,City proper,Estimate - de jure,Final figure; complete,2017,74585,
Belarus,2017,Total,Female,Soligorsk,City proper,Estimate - de jure,Final figure; complete,2017,56869,
Belarus,2017,Total,Female,Vitebsk,Urban agglomeration,Estimate - de jure,Final figure; complete,2017,210316,
Bulgaria,2017,Total,Both Sexes,Burgas,City proper,Estimate - de jure,Final figure; complete,2017,202766,
Bulgaria,2017,Total,Both Sexes,Pleven,City proper,Estimate - de jure,Final figure; complete,2017,98467,
Bulgaria,2017,Total,Both Sexes,Plovdiv,City proper,Estimate - de jure,Final figure; complete,2017,343424,
Bulgaria,2017,Total,Both Sexes,Ruse,City proper,Estimate - de jure,Final figure; complete,2017,144936,
Bulgaria,2017,Total,Both Sexes,SOFIA,City proper,Estimate - de jure,Final figure; complete,2017,1236047,
Bulgaria,2017,Total,Both Sexes,Stara Zagora,City proper,Estimate - de jure,Final figure; complete,2017,136781,
Bulgaria,2017,Total,Both Sexes,Varna,City proper,Estimate - de jure,Final figure; complete,2017,335177,
Bulgaria,2017,Total,Male,Burgas,City proper,Estimate - de jure,Final figure; complete,2017,96717,
Bulgaria,2017,Total,Male,Pleven,City proper,Estimate - de jure,Final figure; complete,2017,47083,
Bulgaria,2017,Total,Male,Plovdiv,City proper,Estimate - de jure,Final figure; complete,2017,163208,
Bulgaria,2017,Total,Male,Ruse,City proper,Estimate - de jure,Final figure; complete,2017,70367,
Bulgaria,2017,Total,Male,SOFIA,City proper,Estimate - de jure,Final figure; complete,2017,590336,
Bulgaria,2017,Total,Male,Stara Zagora,City proper,Estimate - de jure,Final figure; complete,2017,65636,
Bulgaria,2017,Total,Male,Varna,City proper,Estimate - de jure,Final figure; complete,2017,162170,
Bulgaria,2017,Total,Female,Burgas,City proper,Estimate - de jure,Final figure; complete,2017,106049,
Bulgaria,2017,Total,Female,Pleven,City proper,Estimate - de jure,Final figure; complete,2017,51384,
Bulgaria,2017,Total,Female,Plovdiv,City proper,Estimate - de jure,Final figure; complete,2017,180216,
Bulgaria,2017,Total,Female,Ruse,City proper,Estimate - de jure,Final figure; complete,2017,74569,
Bulgaria,2017,Total,Female,SOFIA,City proper,Estimate - de jure,Final figure; complete,2017,645711,
Bulgaria,2017,Total,Female,Stara Zagora,City proper,Estimate - de jure,Final figure; complete,2017,71145,
Bulgaria,2017,Total,Female,Varna,City proper,Estimate - de jure,Final figure; complete,2017,173007,
Chile,2017,Total,Both Sexes,Alto Hospicio,City proper,Estimate - de facto,Final figure; complete,2017,124877,
Chile,2017,Total,Both Sexes,Antofagasta,City proper,Estimate - de facto,Final figure; complete,2017,388545,
Chile,2017,Total,Both Sexes,Arica,City proper,Estimate - de facto,Final figure; complete,2017,229689,
Chile,2017,Total,Both Sexes,Calama,City proper,Estimate - de facto,Final figure; complete,2017,180283,
Chile,2017,Total,Both Sexes,Chiguallante,City proper,Estimate - de facto,Final figure; complete,2017,101244,
Chile,2017,Total,Both Sexes,Chillán,City proper,Estimate - de facto,Final figure; complete,2017,159476,
Chile,2017,Total,Both Sexes,Concepción,City proper,Estimate - de facto,Final figure; complete,2017,220746,
Chile,2017,Total,Both Sexes,Coronel,City proper,Estimate - de facto,Final figure; complete,2017,109709,
Chile,2017,Total,Both Sexes,Copiapó,City proper,Estimate - de facto,Final figure; complete,2017,175162,
Chile,2017,Total,Both Sexes,Coquimbo,City proper,Estimate - de facto,Final figure; complete,2017,216623,
Chile,2017,Total,Both Sexes,Curicó,City proper,Estimate - de facto,Final figure; complete,2017,102710,
Chile,2017,Total,Both Sexes,Hualpén,City proper,Estimate - de facto,Final figure; complete,2017,108803,
Chile,2017,Total,Both Sexes,Iquique,City proper,Estimate - de facto,Final figure; complete,2017,196562,
Chile,2017,Total,Both Sexes,La Serena,City proper,Estimate - de facto,Final figure; complete,2017,205635,
Chile,2017,Total,Both Sexes,Los Ángeles,City proper,Estimate - de facto,Final figure; complete,2017,128933,
Chile,2017,Total,Both Sexes,Osorno,City proper,Estimate - de facto,Final figure; complete,2017,139550,
Chile,2017,Total,Both Sexes,Puente Alto,City proper,Estimate - de facto,Final figure; complete,2017,625551,
Chile,2017,Total,Both Sexes,Puerto Montt,City proper,Estimate - de facto,Final figure; complete,2017,213119,
Chile,2017,Total,Both Sexes,Punta Arenas,City proper,Estimate - de facto,Final figure; complete,2017,124169,
Chile,2017,Total,Both Sexes,Quilpué,City proper,Estimate - de facto,Final figure; complete,2017,172049,
Chile,2017,Total,Both Sexes,Rancagua,City proper,Estimate - de facto,Final figure; complete,2017,225563,
Chile,2017,Total,Both Sexes,San Bernardo,City proper,Estimate - de facto,Final figure; complete,2017,296583,
Chile,2017,Total,Both Sexes,San Pedro de la Paz,City proper,Estimate - de facto,Final figure; complete,2017,139174,
Chile,2017,Total,Both Sexes,SANTIAGO,City proper,Estimate - de facto,Final figure; complete,2017,5613962,1
Chile,2017,Total,Both Sexes,Talca,City proper,Estimate - de facto,Final figure; complete,2017,203873,
Chile,2017,Total,Both Sexes,Talcahuano,City proper,Estimate - de facto,Final figure; complete,2017,92843,
Chile,2017,Total,Both Sexes,Temuco,City proper,Estimate - de facto,Final figure; complete,2017,221375,
Chile,2017,Total,Both Sexes,Valdivia,City proper,Estimate - de facto,Final figure; complete,2017,143207,
Chile,2017,Total,Both Sexes,Valparaíso,City proper,Estimate - de facto,Final figure; complete,2017,295113,
Chile,2017,Total,Both Sexes,Villa Alemana,City proper,Estimate - de facto,Final figure; complete,2017,144417,
Chile,2017,Total,Both Sexes,Viña del Mar,City proper,Estimate - de facto,Final figure; complete,2017,326759,
Chile,2017,Total,Male,Alto Hospicio,City proper,Estimate - de facto,Final figure; complete,2017,63281,
Chile,2017,Total,Male,Antofagasta,City proper,Estimate - de facto,Final figure; complete,2017,205983,
Chile,2017,Total,Male,Arica,City proper,Estimate - de facto,Final figure; complete,2017,114441,
Chile,2017,Total,Male,Calama,City proper,Estimate - de facto,Final figure; complete,2017,91633,
Chile,2017,Total,Male,Chiguallante,City proper,Estimate - de facto,Final figure; complete,2017,48160,
Chile,2017,Total,Male,Chillán,City proper,Estimate - de facto,Final figure; complete,2017,75030,
Chile,2017,Total,Male,Concepción,City proper,Estimate - de facto,Final figure; complete,2017,104151,
Chile,2017,Total,Male,Coronel,City proper,Estimate - de facto,Final figure; complete,2017,51462,
Chile,2017,Total,Male,Copiapó,City proper,Estimate - de facto,Final figure; complete,2017,88912,
Chile,2017,Total,Male,Coquimbo,City proper,Estimate - de facto,Final figure; complete,2017,105602,
Chile,2017,Total,Male,Curicó,City proper,Estimate - de facto,Final figure; complete,2017,49371,
Chile,2017,Total,Male,Hualpén,City proper,Estimate - de facto,Final figure; complete,2017,50733,
Chile,2017,Total,Male,Iquique,City proper,Estimate - de facto,Final figure; complete,2017,98599,
Chile,2017,Total,Male,La Serena,City proper,Estimate - de facto,Final figure; complete,2017,100151,
Chile,2017,Total,Male,Los Ángeles,City proper,Estimate - de facto,Final figure; complete,2017,61836,
Chile,2017,Total,Male,Osorno,City proper,Estimate - de facto,Final figure; complete,2017,66890,
Chile,2017,Total,Male,Puente Alto,City proper,Estimate - de facto,Final figure; complete,2017,308490,
Chile,2017,Total,Male,Puerto Montt,City proper,Estimate - de facto,Final figure; complete,2017,106266,
Chile,2017,Total,Male,Punta Arenas,City proper,Estimate - de facto,Final figure; complete,2017,61603,
Chile,2017,Total,Male,Quilpué,City proper,Estimate - de facto,Final figure; complete,2017,83317,
Chile,2017,Total,Male,Rancagua,City proper,Estimate - de facto,Final figure; complete,2017,112119,
Chile,2017,Total,Male,San Bernardo,City proper,Estimate - de facto,Final figure; complete,2017,147549,
Chile,2017,Total,Male,San Pedro de la Paz,City proper,Estimate - de facto,Final figure; complete,2017,64934,
Chile,2017,Total,Male,SANTIAGO,City proper,Estimate - de facto,Final figure; complete,2017,2723688,1
Chile,2017,Total,Male,Talca,City proper,Estimate - de facto,Final figure; complete,2017,97557,
Chile,2017,Total,Male,Talcahuano,City proper,Estimate - de facto,Final figure; complete,2017,43260,
Chile,2017,Total,Male,Temuco,City proper,Estimate - de facto,Final figure; complete,2017,105706,
Chile,2017,Total,Male,Valdivia,City proper,Estimate - de facto,Final figure; complete,2017,69519,
Chile,2017,Total,Male,Valparaíso,City proper,Estimate - de facto,Final figure; complete,2017,147418,
Chile,2017,Total,Male,Villa Alemana,City proper,Estimate - de facto,Final figure; complete,2017,70578,
Chile,2017,Total,Male,Viña del Mar,City proper,Estimate - de facto,Final figure; complete,2017,157481,
Chile,2017,Total,Female,Alto Hospicio,City proper,Estimate - de facto,Final figure; complete,2017,61596,
Chile,2017,Total,Female,Antofagasta,City proper,Estimate - de facto,Final figure; complete,2017,182562,
Chile,2017,Total,Female,Arica,City proper,Estimate - de facto,Final figure; complete,2017,115248,
Chile,2017,Total,Female,Calama,City proper,Estimate - de facto,Final figure; complete,2017,88650,
Chile,2017,Total,Female,Chiguallante,City proper,Estimate - de facto,Final figure; complete,2017,53084,
Chile,2017,Total,Female,Chillán,City proper,Estimate - de facto,Final figure; complete,2017,84446,
Chile,2017,Total,Female,Concepción,City proper,Estimate - de facto,Final figure; complete,2017,116595,
Chile,2017,Total,Female,Coronel,City proper,Estimate - de facto,Final figure; complete,2017,58247,
Chile,2017,Total,Female,Copiapó,City proper,Estimate - de facto,Final figure; complete,2017,86250,
Chile,2017,Total,Female,Coquimbo,City proper,Estimate - de facto,Final figure; complete,2017,111021,
Chile,2017,Total,Female,Curicó,City proper,Estimate - de facto,Final figure; complete,2017,53339,
Chile,2017,Total,Female,Hualpén,City proper,Estimate - de facto,Final figure; complete,2017,58070,
Chile,2017,Total,Female,Iquique,City proper,Estimate - de facto,Final figure; complete,2017,97963,
Chile,2017,Total,Female,La Serena,City proper,Estimate - de facto,Final figure; complete,2017,105484,
Chile,2017,Total,Female,Los Ángeles,City proper,Estimate - de facto,Final figure; complete,2017,67097,
Chile,2017,Total,Female,Osorno,City proper,Estimate - de facto,Final figure; complete,2017,72660,
Chile,2017,Total,Female,Puente Alto,City proper,Estimate - de facto,Final figure; complete,2017,317061,
Chile,2017,Total,Female,Puerto Montt,City proper,Estimate - de facto,Final figure; complete,2017,106853,
Chile,2017,Total,Female,Punta Arenas,City proper,Estimate - de facto,Final figure; complete,2017,62566,
Chile,2017,Total,Female,Quilpué,City proper,Estimate - de facto,Final figure; complete,2017,88732,
Chile,2017,Total,Female,Rancagua,City proper,Estimate - de facto,Final figure; complete,2017,113444,
Chile,2017,Total,Female,San Bernardo,City proper,Estimate - de facto,Final figure; complete,2017,149034,
Chile,2017,Total,Female,San Pedro de la Paz,City proper,Estimate - de facto,Final figure; complete,2017,74240,
Chile,2017,Total,Female,SANTIAGO,City proper,Estimate - de facto,Final figure; complete,2017,2890274,1
Chile,2017,Total,Female,Talca,City proper,Estimate - de facto,Final figure; complete,2017,106316,
Chile,2017,Total,Female,Talcahuano,City proper,Estimate - de facto,Final figure; complete,2017,49583,
Chile,2017,Total,Female,Temuco,City proper,Estimate - de facto,Final figure; complete,2017,115669,
Chile,2017,Total,Female,Valdivia,City proper,Estimate - de facto,Final figure; complete,2017,73688,
Chile,2017,Total,Female,Valparaíso,City proper,Estimate - de facto,Final figure; complete,2017,147695,
Chile,2017,Total,Female,Villa Alemana,City proper,Estimate - de facto,Final figure; complete,2017,73839,
Chile,2017,Total,Female,Viña del Mar,City proper,Estimate - de facto,Final figure; complete,2017,169278,
Costa Rica,2017,Total,Both Sexes,Alajuela,City proper,Estimate - de jure,Final figure; complete,2017,302074,2
Costa Rica,2017,Total,Both Sexes,Alajuelita,City proper,Estimate - de jure,Final figure; complete,2017,90543,2
Costa Rica,2017,Total,Both Sexes,Cartago,City proper,Estimate - de jure,Final figure; complete,2017,160457,2
Costa Rica,2017,Total,Both Sexes,Desamparados,City proper,Estimate - de jure,Final figure; complete,2017,238312,2
Costa Rica,2017,Total,Both Sexes,Goicoechea,City proper,Estimate - de jure,Final figure; complete,2017,134855,2
Costa Rica,2017,Total,Both Sexes,Heredia,City proper,Estimate - de jure,Final figure; complete,2017,138562,2
Costa Rica,2017,Total,Both Sexes,La Unión,City proper,Estimate - de jure,Final figure; complete,2017,108990,2
Costa Rica,2017,Total,Both Sexes,Limón,City proper,Estimate - de jure,Final figure; complete,2017,98848,2
Costa Rica,2017,Total,Both Sexes,Pavas,City proper,Estimate - de jure,Final figure; complete,2017,85101,2
Costa Rica,2017,Total,Both Sexes,Pérez Zeledón,City proper,Estimate - de jure,Final figure; complete,2017,142550,2
Costa Rica,2017,Total,Both Sexes,Puntarenas,City proper,Estimate - de jure,Final figure; complete,2017,134400,2
Costa Rica,2017,Total,Both Sexes,San Carlos,City proper,Estimate - de jure,Final figure; complete,2017,191126,2
Costa Rica,2017,Total,Both Sexes,SAN JOSÉ,City proper,Estimate - de jure,Final figure; complete,2017,339581,2
Costa Rica,2017,Total,Both Sexes,Pococí,City proper,Estimate - de jure,Final figure; complete,2017,144339,2
Costa Rica,2017,Total,Male,Alajuela,City proper,Estimate - de jure,Final figure; complete,2017,153271,2
Costa Rica,2017,Total,Male,Alajuelita,City proper,Estimate - de jure,Final figure; complete,2017,45686,2
Costa Rica,2017,Total,Male,Cartago,City proper,Estimate - de jure,Final figure; complete,2017,80593,2
Costa Rica,2017,Total,Male,Desamparados,City proper,Estimate - de jure,Final figure; complete,2017,118840,2
Costa Rica,2017,Total,Male,Goicoechea,City proper,Estimate - de jure,Final figure; complete,2017,66498,2
Costa Rica,2017,Total,Male,Heredia,City proper,Estimate - de jure,Final figure; complete,2017,68164,2
Costa Rica,2017,Total,Male,La Unión,City proper,Estimate - de jure,Final figure; complete,2017,54724,2
Costa Rica,2017,Total,Male,Limón,City proper,Estimate - de jure,Final figure; complete,2017,49302,2
Costa Rica,2017,Total,Male,Pavas,City proper,Estimate - de jure,Final figure; complete,2017,42204,2
Costa Rica,2017,Total,Male,Pérez Zeledón,City proper,Estimate - de jure,Final figure; complete,2017,71159,2
Costa Rica,2017,Total,Male,Puntarenas,City proper,Estimate - de jure,Final figure; complete,2017,68897,2
Costa Rica,2017,Total,Male,San Carlos,City proper,Estimate - de jure,Final figure; complete,2017,98205,2
Costa Rica,2017,Total,Male,SAN JOSÉ,City proper,Estimate - de jure,Final figure; complete,2017,168055,2
Costa Rica,2017,Total,Male,Pococí,City proper,Estimate - de jure,Final figure; complete,2017,74936,2
Costa Rica,2017,Total,Female,Alajuela,City proper,Estimate - de jure,Final figure; complete,2017,148803,2
Costa Rica,2017,Total,Female,Alajuelita,City proper,Estimate - de jure,Final figure; complete,2017,44857,2
Costa Rica,2017,Total,Female,Cartago,City proper,Estimate - de jure,Final figure; complete,2017,79864,2
Costa Rica,2017,Total,Female,Desamparados,City proper,Estimate - de jure,Final figure; complete,2017,119472,2
Costa Rica,2017,Total,Female,Goicoechea,City proper,Estimate - de jure,Final figure; complete,2017,68357,2
Costa Rica,2017,Total,Female,Heredia,City proper,Estimate - de jure,Final figure; complete,2017,70398,2
Costa Rica,2017,Total,Female,La Unión,City proper,Estimate - de jure,Final figure; complete,2017,54266,2
Costa Rica,2017,Total,Female,Limón,City proper,Estimate - de jure,Final figure; complete,2017,49546,2
Costa Rica,2017,Total,Female,Pavas,City proper,Estimate - de jure,Final figure; complete,2017,42897,2
Costa Rica,2017,Total,Female,Pérez Zeledón,City proper,Estimate - de jure,Final figure; complete,2017,71391,2
Costa Rica,2017,Total,Female,Puntarenas,City proper,Estimate - de jure,Final figure; complete,2017,65503,2
Costa Rica,2017,Total,Female,San Carlos,City proper,Estimate - de jure,Final figure; complete,2017,92921,2
Costa Rica,2017,Total,Female,SAN JOSÉ,City proper,Estimate - de jure,Final figure; complete,2017,171526,2
Costa Rica,2017,Total,Female,Pococí,City proper,Estimate - de jure,Final figure; complete,2017,69403,2
Czechia,2017,Total,Both Sexes,Brno,City proper,Estimate - de jure,Final figure; complete,2017,377973,
Czechia,2017,Total,Both Sexes,Hradec Králové,City proper,Estimate - de jure,Final figure; complete,2017,92929,
Czechia,2017,Total,Both Sexes,Liberec,City proper,Estimate - de jure,Final figure; complete,2017,103853,
Czechia,2017,Total,Both Sexes,Olomouc,City proper,Estimate - de jure,Final figure; complete,2017,100378,
Czechia,2017,Total,Both Sexes,Ústí nad Labem,City proper,Estimate - de jure,Final figure; complete,2017,92984,
Czechia,2017,Total,Both Sexes,Ostrava,City proper,Estimate - de jure,Final figure; complete,2017,291634,
Czechia,2017,Total,Both Sexes,Plzen,City proper,Estimate - de jure,Final figure; complete,2017,170548,
Czechia,2017,Total,Both Sexes,PRAHA,City proper,Estimate - de jure,Final figure; complete,2017,1280508,
Czechia,2017,Total,Male,Brno,City proper,Estimate - de jure,Final figure; complete,2017,182549,
Czechia,2017,Total,Male,Hradec Králové,City proper,Estimate - de jure,Final figure; complete,2017,44582,
Czechia,2017,Total,Male,Liberec,City proper,Estimate - de jure,Final figure; complete,2017,50212,
Czechia,2017,Total,Male,Olomouc,City proper,Estimate - de jure,Final figure; complete,2017,47473,
Czechia,2017,Total,Male,Ústí nad Labem,City proper,Estimate - de jure,Final figure; complete,2017,45110,
Czechia,2017,Total,Male,Ostrava,City proper,Estimate - de jure,Final figure; complete,2017,141268,
Czechia,2017,Total,Male,Plzen,City proper,Estimate - de jure,Final figure; complete,2017,82946,
Czechia,2017,Total,Male,PRAHA,City proper,Estimate - de jure,Final figure; complete,2017,621565,
Czechia,2017,Total,Female,Brno,City proper,Estimate - de jure,Final figure; complete,2017,195424,
Czechia,2017,Total,Female,Hradec Králové,City proper,Estimate - de jure,Final figure; complete,2017,48347,
Czechia,2017,Total,Female,Liberec,City proper,Estimate - de jure,Final figure; complete,2017,53641,
Czechia,2017,Total,Female,Olomouc,City proper,Estimate - de jure,Final figure; complete,2017,52905,
Czechia,2017,Total,Female,Ústí nad Labem,City proper,Estimate - de jure,Final figure; complete,2017,47874,
Czechia,2017,Total,Female,Ostrava,City proper,Estimate - de jure,Final figure; complete,2017,150366,
Czechia,2017,Total,Female,Plzen,City proper,Estimate - de jure,Final figure; complete,2017,87602,
Czechia,2017,Total,Female,PRAHA,City proper,Estimate - de jure,Final figure; complete,2017,658943,
Denmark,2017,Total,Both Sexes,Ålborg,City proper,Estimate - de jure,Final figure; complete,2017,211684,3;4
Denmark,2017,Total,Both Sexes,Århus,City proper,Estimate - de jure,Final figure; complete,2017,336411,3;4
Denmark,2017,Total,Both Sexes,Esbjerg,City proper,Estimate - de jure,Final figure; complete,2017,115932,3;4
Denmark,2017,Total,Both Sexes,Frederiksberg,City proper,Estimate - de jure,Final figure; complete,2017,104641,3;4
Denmark,2017,Total,Both Sexes,KOBENHAVN,City proper,Estimate - de jure,Final figure; complete,2017,605366,3;4
Denmark,2017,Total,Both Sexes,Odense,City proper,Estimate - de jure,Final figure; complete,2017,200703,3;4
Denmark,2017,Total,Both Sexes,Vejle,City proper,Estimate - de jure,Final figure; complete,2017,113720,3;4
Denmark,2017,Total,Male,Ålborg,City proper,Estimate - de jure,Final figure; complete,2017,106646,3;4
Denmark,2017,Total,Male,Århus,City proper,Estimate - de jure,Final figure; complete,2017,165599,3;4
Denmark,2017,Total,Male,Esbjerg,City proper,Estimate - de jure,Final figure; complete,2017,58121,3;4
Denmark,2017,Total,Male,Frederiksberg,City proper,Estimate - de jure,Final figure; complete,2017,49601,3;4
Denmark,2017,Total,Male,KOBENHAVN,City proper,Estimate - de jure,Final figure; complete,2017,299235,3;4
Denmark,2017,Total,Male,Odense,City proper,Estimate - de jure,Final figure; complete,2017,99049,3;4
Denmark,2017,Total,Male,Vejle,City proper,Estimate - de jure,Final figure; complete,2017,56941,3;4
Denmark,2017,Total,Female,Ålborg,City proper,Estimate - de jure,Final figure; complete,2017,105038,3;4
Denmark,2017,Total,Female,Århus,City proper,Estimate - de jure,Final figure; complete,2017,170812,3;4
Denmark,2017,Total,Female,Esbjerg,City proper,Estimate - de jure,Final figure; complete,2017,57811,3;4
Denmark,2017,Total,Female,Frederiksberg,City proper,Estimate - de jure,Final figure; complete,2017,55040,3;4
Denmark,2017,Total,Female,KOBENHAVN,City proper,Estimate - de jure,Final figure; complete,2017,306131,3;4
Denmark,2017,Total,Female,Odense,City proper,Estimate - de jure,Final figure; complete,2017,101654,3;4
Denmark,2017,Total,Female,Vejle,City proper,Estimate - de jure,Final figure; complete,2017,56779,3;4
El Salvador,2017,Total,Both Sexes,Ahuachapán,City proper,Estimate - de jure,Final figure; complete,2017,129750,
El Salvador,2017,Total,Both Sexes,Apopa,City proper,Estimate - de jure,Final figure; complete,2017,185073,
El Salvador,2017,Total,Both Sexes,Ciudad Delgado,City proper,Estimate - de jure,Final figure; complete,2017,128012,
